FacilityId,County,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic,NAME,OBJECTID_1,NAME_1,CLASS_1,POP2012_1,FAC_TYPE,FAC_X,FAC_Y,SOURCE,SOURCE_2,SW_TYPE,SW_ORIGIN,GW_TYPE,GW_ORIGIN,BUYS_FROM,SELLER_FAC,SELLER_X,SELLER_Y,REPORTED_P,SS_2012_GA,P_2012_GAL,TOTAL_2012,SS_2012_MG,P_2012_MGD,Shape_Leng,Shape_Area
IL1834020,Vermilion,Allerton (PWS),3/29/19 23:48,2018,130,0,130,0,130,0,0,0,0,0,0,Allerton,1027,Allerton,village,317,municipality,3437174.903,2511910.785,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,6639100,0,6639100,0.018176865,0,25545.18949,18722315.73
IL1210050,Marion,Alma (PWS),8/2/19 9:28,2018,179,0,179,0,0,0,0,0,140,0,39,Alma,1263,Alma,village,326,municipality,3166888.326,2076503.627,surface water,surface water,reservoir,Carlyle Lake,,,Gateway Water Company,IL0270040,3116258.631,2054551.304,NO,,,,,,21801.43591,29755935.83
IL0730050,Henry,Alpha (PWS),4/10/19 12:15,2018,362,0,362,0,148,0,1,0,169,0,44,Alpha,430,Alpha,village,685,municipality,2758823.677,2971683.867,groundwater,groundwater,,,mixed shallow bedrock and c-o sandstone,,,,,,YES,21773000,0,21773000,0.059611225,0,20036.56349,8873558.311
IL0310030,Cook,Alsip (PWS),4/15/19 19:04,2018,5589,2,5587,0,0,1562,0,4009,15,2,1,Alsip,859,Alsip,village,19254,municipality,3479776.767,3148647.844,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-South,IL0316000,3510000,3182000,YES,0,2195303000,2195303000,0,6.010412047,92595.71508,179434796.6
IL0490050,Effingham,Altamont (PWS),4/16/19 9:18,2018,1417,0,1417,0,1211,0,0,0,66,1,139,Altamont,1239,Altamont,city,2332,municipality,3212548.277,2197850.511,surface water,surface water,reservoir,Altamont Reservoir,,,,,,,YES,84058000,0,84058000,0.230138261,0,59024.73522,38791170.64
IL0950100,Knox,Altona (PWS),5/6/19 13:07,2018,241,0,241,0,0,50,0,0,0,0,191,Altona,425,Altona,village,533,municipality,2817746.217,2943542.531,groundwater,groundwater,,,shallow bedrock,,,,,,YES,12789000,0,12789000,0.035014374,0,21865.30698,27519391.28
IL1830050,Vermilion,Alvin (PWS),3/21/19 10:58,2018,122,0,122,0,107,0,0,0,4,0,11,Alvin,1024,Alvan,village,268,municipality,3525210.875,2655271.184,groundwater,groundwater,,,sand and gravel,,,,,,YES,5950821,0,5950821,0.01629246,0,19954.13796,21882024.82
IL1030050,Lee,Amboy (PWS),3/19/19 11:33,2018,936,0,936,34,746,11,2,0,109,0,34,Amboy,486,Amboy,city,2471,municipality,3045272.808,3160354.944,groundwater,groundwater,,,c-o sandstone,,,,,,YES,144714000,0,144714000,0.396205339,0,203825.1948,173913319.4
IL1130050,McLean,Anchor (PWS),5/21/19 11:00,2018,78,0,78,0,3,13,10,0,0,0,52,Anchor,936,Anchor,village,148,municipality,3265649.649,2745677.179,groundwater,groundwater,,,sand and gravel,,,,,,YES,5500000,0,5500000,0.015058179,0,11786.86007,5272797.019
IL1610050,Rock Island,Andalusia (PWS),3/28/19 21:42,2018,481,0,481,0,50,0,0,0,400,0,31,Andalusia,441,Andalusia,village,1262,municipality,2670726.66,3060897.311,groundwater,groundwater,,,shallow bedrock,,,,,,YES,31585212,0,31585212,0.086475598,0,50006.05693,32742880.89
IL0730100,Henry,Andover (PWS),4/14/19 22:01,2018,254,0,254,0,27,52,0,0,12,0,163,Andover,429,Andover,village,579,municipality,2783757.088,3008857.116,groundwater,groundwater,,,shallow bedrock,,,,,,NO,,,,,,21022.7366,27411007.23
IL1810050,Union,Anna (PWS),4/10/19 15:09,2018,2116,0,2116,1,1678,83,52,0,28,0,274,Anna,58,Anna,city,4384,municipality,3075380.65,1618942.412,groundwater,groundwater,,,sand and gravel,,Anna-Jonesboro Water Comm,IL1815050,3076597.324,1626028.379,YES,0,213749900,213749900,0,0.585215332,68446.72462,97107234.48
IL0730150,Henry,Annawan (PWS),1/9/19 8:05,2018,440,0,440,0,0,0,0,0,438,0,2,Annawan,512,Annawan,town,956,municipality,2895893.376,3044607.799,groundwater,groundwater,,,shallow bedrock,,,,,,YES,29037700,0,29037700,0.07950089,0,58888.94697,54580020.49
IL0970050,Lake,Antioch (PWS),4/9/19 19:13,2018,4659,0,4659,198,0,0,0,0,4459,0,2,Antioch,188,Antioch,village,14551,municipality,3377513.004,3441746.154,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,431223000,0,431223000,1.18062423,0,238360.8229,237903014.4
IL0850050,Jo Daviess,Apple River (PWS),4/5/19 11:10,2018,189,0,189,0,91,64,0,0,0,0,34,Apple River,156,Apple River,village,376,municipality,2840258.355,3446437.856,groundwater,groundwater,,,c-o sandstone,,,,,,YES,14425200,0,14425200,0.039494045,0,18923.65143,21932039.9
IL0410050,Douglas,Arcola (PWS),5/21/19 11:38,2018,1403,2,1401,95,0,150,50,28,290,0,790,Arcola,1298,Arcola,city,2901,municipality,3335597.465,2426046.127,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,Illinois American - Champaign,IL0195300,3339874.924,2589562.335,YES,0,179425752,179425752,0,0.491240936,45818.93362,55639540.1
IL0170050,Cass,Arenzville (PWS),4/12/19 13:55,2018,192,0,192,0,25,105,0,0,0,0,62,Arenzville,290,Arenzville,village,404,municipality,2757015.191,2496372.397,groundwater,groundwater,,,sand and gravel,,,,,,YES,12960000,0,12960000,0.035482546,0,19905.74594,21535805.77
IL1150050,Macon,Argenta (PWS),4/29/19 14:16,2018,439,0,439,0,0,0,0,0,434,5,0,Argenta,872,Argenta,village,934,municipality,3189569.292,2533842.518,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,NO,,,,,,33341.48031,18096584.49
IL0110050,Bureau,Arlington (PWS),5/9/19 6:25,2018,68,0,68,0,11,0,0,0,11,0,46,Arlington,532,Arlington,village,199,municipality,3069799.558,3072447.449,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,22364.40118,10957989.8
IL0314030,Cook,Arlington Heights (PWS),3/27/19 7:22,2018,23244,0,23244,6513,0,0,0,0,16731,0,0,Arlington Heights,689,Arlington Heights,village,75513,municipality,3410175.286,3301828.427,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Northwest Water Comm,IL0315300,3412000,3310000,YES,13200000,3113450000,3126650000,0.03613963,8.524161533,204159.379,460046408.2
IL1790050,Tazewell,Armington (PWS),4/11/2019 9:51:53 AM,2018,167,0,167,0,0,130,7,0,0,0,30,Armington,384,Armington,village,357,municipality,3051529.073,2661712.809,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,7648000,0,7648000,0.020939083,0,16855.19626,7867412.05
IL1130100,McLean,Arrowsmith (PWS),3/20/19 14:21,2018,125,0,125,0,0,124,0,0,0,0,1,Arrowsmith,935,Arrowsmith,village,299,municipality,3240328.014,2702506.409,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,9772000,0,9772000,0.026754278,0,10243.2152,5544323.942
IL1394040,Moultrie,Arthur (PWS),4/12/19 8:23,2018,1131,0,1131,0,859,0,0,0,221,0,51,Arthur,1275,Arthur,village,2320,municipality,3288383.799,2436715.889,groundwater,groundwater,,,sand and gravel,,,,,,YES,82279000,0,82279000,0.225267625,0,45682.92112,36359457.05
IL0750050,Iroquois,Ashkum (PWS),3/18/19 8:13,2018,343,0,343,0,48,0,0,0,288,0,7,Ashkum,989,Ashkum,village,811,municipality,3425662.914,2860459.601,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,,,,,YES,23218100,0,23218100,0.063567693,0,28885.80598,22214997.07
IL0170100,Cass,Ashland (PWS),4/4/19 9:21,2018,619,0,619,0,0,0,0,605,0,0,14,Ashland,394,Ashland,village,1424,municipality,2858224.145,2498568.145,mixed,mixed,reservoir,Lake Mauvaise Terre,sand and gravel,,"Cass Rural Water District, North Morgan Water Coop","IL0170010, IL1375050",,,YES,0,28732869,28732869,0,0.08,22297.92045,20266132.34
IL1890100,Washington,Ashley (PWS),4/11/19 10:59,2018,358,0,358,0,0,0,0,5,25,0,328,Ashley,1351,Ashley,city,531,municipality,3088716.997,1933329.371,surface water,surface water,mixed reservoir and river,Nashville Reservoir; Kaskaskia River; Washington City Conservation Lake; Rend Lake; Lake Kinkaid,,,Washington Co Water Co,IL1895600,3034210.893,1929035.082,YES,0,18581000,18581000,0,0.050872005,30366.16565,31068389.09
IL0290050,Coles,Ashmore (PWS),5/30/19 9:45,2018,365,0,365,3,162,83,1,0,74,0,42,Ashmore,1318,Ashmore,village,768,municipality,3415141.731,2371823.633,groundwater,groundwater,,,sand and gravel,,,,,,YES,27374600,0,27374600,0.07494757,0,28604.25756,23074712.91
IL1030100,Lee,Ashton (PWS),5/28/19 12:01,2018,418,0,418,0,120,73,150,0,75,0,0,Ashton,591,Ashton,village,921,municipality,3075305.058,3215997.782,groundwater,groundwater,,,c-o sandstone,,,,,,NO,,,,,,20306.35974,18118862.1
IL0210050,Christian,Assumption (PWS),4/18/19 10:08,2018,567,0,567,55,270,0,7,0,227,0,8,Assumption,1287,Assumption,city,1141,municipality,3126716.916,2364152.434,groundwater,groundwater,,,sand and gravel,,,,,,YES,66265800,0,66265800,0.181425873,0,24108.36116,24257073.85
IL0570050,Fulton,Astoria (PWS),4/5/19 11:27,2018,601,3,598,2,37,0,80,0,68,0,414,Astoria,312,Astoria,town,1167,municipality,2762118.501,2622231.351,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,20458.13715,16151601.13
IL1290050,Menard,Athens (PWS),3/13/19 15:57,2018,1787,1,1786,0,0,170,135,0,1382,0,100,Athens,376,Athens,city,2024,municipality,2938230.553,2524797.341,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,48853.32616,46414876.51
IL0730200,Henry,Atkinson (PWS),4/15/19 13:36,2018,480,0,480,0,80,0,50,0,150,0,200,Atkinson,511,Atkinson,town,957,municipality,2860196.196,3052287.058,groundwater,groundwater,,,mixed shallow bedrock and c-o sandstone,,,,,,NO,,,,,,65908.22586,43965790.71
IL1070050,Logan,Atlanta (PWS),4/9/19 14:05,2018,800,0,800,0,800,0,0,0,0,0,0,Atlanta,907,Atlanta,city,1722,municipality,3074645.026,2634165.233,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,48242.72337,35067611.4
IL0414060,Douglas,Atwood (PWS),3/26/19 15:04,2018,540,0,540,0,125,0,0,0,376,0,39,Atwood,874,Atwood,village,1263,municipality,3289938.461,2467454.281,groundwater,groundwater,,,sand and gravel,,,,,,YES,52571000,0,52571000,0.143931554,0,28991.25422,17248636.48
IL1670050,Sangamon,Auburn (PWS),3/25/2019 8:55:29 AM,2018,1914,0,1914,0,0,0,0,1914,0,0,0,Auburn,1126,Auburn,city,4753,municipality,2931996.968,2380067.712,surface water,surface water,reservoir,Otter Lake,,,Otter Lake Water Commission,IL1175200,2888302.932,2334194.848,YES,0,136237085,136237085,0,0.37299681,120239.6189,112377695.9
IL0670050,Hancock,Augusta (PWS),4/2/19 14:06,2018,314,0,314,0,114,0,0,0,100,0,100,Augusta,306,Augusta,village,579,municipality,2597365.469,2625434.124,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,Clayton-Camp Point Water Commission,IL0015200,2579498.589,2556907.528,YES,0,20717000,20717000,0,0.056720055,22729.01733,19728099.29
IL0894070,Kane,Aurora (PWS),4/8/19 14:58,2018,49177,0,49177,19912,130,0,137,0,28735,259,4,Aurora,661,Aurora,city,198523,municipality,3310303.471,3182301.973,mixed,mixed,river,Fox River,mixed sand and gravel and shallow bedrock and c-o sandstone,,North Aurora,IL0890600,3314452.891,3196200.82,YES,6626805000,1426627,6628231627,18.14320329,0.003905892,799927.3738,1265546379
IL0770050,Jackson,Ava (PWS),4/15/19 10:29,2018,506,0,506,0,0,0,0,506,0,0,0,Ava,10,Ava,city,680,municipality,3001041.335,1773680.138,surface water,surface water,reservoir,Lake Kinkaid,,,Kinkaid Reeds Crk Int City WS,IL0775100,3027253.597,1743366.581,YES,0,40125000,40125000,0,0.109856263,23685.79583,29411179.12
IL0270100,Clinton,Aviston (PWS),5/3/19 16:20,2018,974,0,974,0,0,0,0,0,806,0,168,Aviston,1222,Aviston,village,1992,municipality,2970418.862,2034175.103,mixed,mixed,river,Shoal Creek,sand and gravel,,Breese,IL0270250,2993690.437,2036482.439,YES,54342200,1924000,56266200,0.148780835,0.005267625,54571.39415,40490366.32
IL0570100,Fulton,Avon (PWS),3/25/19 9:02,2018,388,4,384,0,0,0,0,0,234,4,150,Avon,269,Avon,village,754,municipality,2741883.322,2779794.766,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,21833.61362,12523983.65
IL1570050,Randolph,Baldwin (PWS),4/11/19 11:05,2018,273,0,273,0,0,57,5,0,0,0,211,Baldwin,27,Baldwin,village,373,municipality,2900773.055,1881043.706,surface water,surface water,mixed reservoir and river,New City Lake; South City Lake; Kaskaskia River,,,Egyptian Water Company,IL1570010,2923015.832,1854522.832,YES,0,16087000,16087000,0,0.044043806,24118.97731,18362452.5
IL0970100,Lake,Bannockburn (PWS),3/19/19 15:09,2018,213,0,213,2,0,6,12,0,192,0,1,Bannockburn,722,Bannockburn,village,1629,municipality,3440010.598,3337824.273,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Highland Park,IL0970500,3456058.256,3334056.395,YES,0,124614000,124614000,0,0.341174538,35894.7097,56443588.98
IL1090050,McDonough,Bardolph (PWS),1/5/19 13:01,2018,98,0,98,0,98,0,0,0,0,0,0,Bardolph,320,Bardolph,village,238,municipality,2705800.825,2720107.81,groundwater,groundwater,,,shallow bedrock,,,,,,NO,,,,,,20050.91904,16402693.8
IL0974080,Lake,Barrington (PWS),4/8/19 17:08,2018,4547,0,4547,1006,848,0,0,0,2693,0,0,Barrington,688,Barrington,village,10378,municipality,3370602.925,3321484.627,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,,,,,NO,,,,,,111240.3841,132849070.5
IL1490050,Pike,Barry (PWS),4/9/19 11:03,2018,719,719,0,23,100,0,120,0,275,0,201,Barry,223,Barry,city,1298,municipality,2569884.289,2432501.696,groundwater,groundwater,,,sand and gravel,,,,,,YES,54047300,0,54047300,0.147973443,0,44517.50675,38995585.74
IL0270150,Clinton,Bartelso (PWS),4/15/19 11:40,2018,235,0,235,0,85,0,10,0,120,0,20,Bartelso,1230,Bartelso,village,630,municipality,3008573.776,2008802.562,groundwater,groundwater,,,sand and gravel,,,,,,YES,23430000,0,23430000,0.064147844,0,24864.66668,10580834.05
IL0314120,Cook,Bartlett (PWS),4/15/19 9:38,2018,13602,1,13601,58,231,5025,0,0,8288,0,0,Bartlett,660,Bartlett,village,41523,municipality,3352118.131,3258265.747,mixed,mixed,river,Fox River,mixed sand and gravel and shallow bedrock and c-o sandstone,,Elgin,IL0894380,3329879.633,3280097.193,YES,560304000,733439000,1293743000,1.534028747,2.008046543,362967.9726,438509475.2
IL0894130,Kane,Batavia (PWS),3/18/19 11:29,2018,9330,0,9330,520,200,240,90,40,8232,0,8,Batavia,659,Batavia,city,26168,municipality,3323334.953,3210864.247,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,1121220000,0,1121220000,3.06973306,0,271173.7861,268206758.1
IL0130050,Calhoun,Batchtown (PWS),5/9/19 17:45,2018,160,0,160,0,0,160,0,0,0,0,0,Batchtown,1050,Batchtown,village,212,municipality,2674179.972,2190357.789,groundwater,groundwater,,,sand and gravel,Illinois River Alluvial Aquifer,,,,,YES,18096000,0,18096000,0.049544148,0,31508.86731,51381595.9
IL1490100,Pike,Baylis (PWS),4/15/19 14:58,2018,82,0,82,0,0,0,0,0,82,0,0,Baylis,1069,Baylis,village,207,municipality,2605796.493,2443569.326,groundwater,groundwater,,,shallow bedrock,,,,,,YES,1123370,0,1123370,0.003075619,0,15339.14604,12917838.67
IL0970190,Lake,Beach Park (PWS),4/5/19 10:35,2018,2888,0,2888,0,0,0,0,0,2628,0,260,Beach Park,210,Beach Park,village,13714,municipality,3446964.291,3420063.482,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Waukegan,IL0971900,3445691.398,3402993.394,YES,0,178806000,178806000,0,0.489544148,198767.0769,196482365.6
IL0170150,Cass,Beardstown (PWS),4/8/19 14:50,2018,2105,0,2105,700,700,0,700,0,0,0,5,Beardstown,289,Beardstown,city,6064,municipality,2743946.09,2544542.094,groundwater,groundwater,,,sand and gravel,,,,,,YES,236346000,0,236346000,0.647080082,0,122407.259,99972063.65
IL0270200,Clinton,Beckemeyer (PWS),3/18/19 12:31,2018,471,0,471,0,0,0,0,0,465,0,6,Beckemeyer,1229,Beckemeyer,village,1040,municipality,3019272.38,2033483.35,surface water,surface water,river,Kaskaskia River,,,Carlyle,IL0270300,3035698.574,2041114.684,YES,0,23774000,23774000,0,0.065089665,27426.73546,16894791.76
IL0310120,Cook,Bedford Park (PWS),3/14/19 14:13,2018,490,2,488,0,0,0,0,0,215,275,0,Bedford Park,753,Bedford Park,village,571,municipality,3454000,3184000,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-South,IL0316000,3510000,3182000,YES,0,8548697500,8548697500,0,23.40505818,93089.93499,166778703.4
IL1970050,Will,Beecher (PWS),5/22/19 19:21,2018,2231,0,2231,479,0,278,0,0,1459,2,13,Beecher,861,Beecher,village,4429,municipality,3514568.229,3033343.434,groundwater,groundwater,,,shallow bedrock,,,,,,YES,172772000,0,172772000,0.473023956,0,59535.29614,81779217.43
IL0490100,Effingham,Beecher City (PWS),4/8/19 10:57,2018,294,0,294,0,0,0,0,0,183,0,111,Beecher City,1238,Beecher City,village,457,municipality,3200863.477,2244664.762,mixed,mixed,mixed reservoir and river,Carlyle Lake; Vandalia Lake; Kaskaskia River,mixed sand and gravel and shallow bedrock,,Fayette Water Company,IL0510010,3174939.597,2210670.288,YES,0,14731500,14731500,0,0.040332649,21020.29233,24873544.95
IL0870050,Johnson,Belknap (PWS),5/4/19 10:32,2018,325,0,325,0,169,4,0,145,7,0,0,Belknap,74,Belknap,village,107,municipality,3161919.224,1569078.499,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,,,,,NO,,,,,,22135.4248,29246393.6
IL0810050,Jefferson,Belle Rive (PWS),3/27/19 16:03,2018,844,0,844,0,0,0,0,820,0,0,24,Belle Rive,46,Belle Rive,village,373,municipality,3217399.815,1898893.688,surface water,surface water,reservoir,Rend Lake,,,Mount Vernon,IL0810300,3167489.734,1929156.014,YES,0,46433700,46433700,0,0.127128542,19780.45615,24116830.2
IL1130150,McLean,Bellflower (PWS),4/16/19 21:02,2018,180,0,180,0,180,0,0,0,0,0,0,Bellflower,888,Bellflower,village,319,municipality,3271352.038,2664004.606,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,19619.59661,10116672.74
IL1850100,Wabash,Bellmont (PWS),3/27/19 16:15,2018,135,0,135,0,55,0,60,0,0,0,20,Bellmont,1358,Bellmont,village,249,municipality,3453155.571,1956723.766,groundwater,groundwater,,,shallow bedrock,,,,,,YES,8511617,0,8511617,0.023303537,0,12181.28464,8858451.324
IL0310150,Cook,Bellwood (PWS),4/29/19 9:15,2018,6234,0,6234,4825,35,1064,0,0,0,310,0,Bellwood,776,Bellwood,village,19252,municipality,3440308.23,3225146.492,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Melrose Park,IL0311860,3443395.287,3232457.493,YES,16056760,698975000,715031760,0.043961013,1.913689254,38955.99996,66280448.14
IL0070050,Boone,Belvidere (PWS),3/13/19 14:56,2018,7528,1,7527,6,4033,0,0,0,3343,0,146,Belvidere,585,Belvidere,city,25657,municipality,3176579.658,3356429.441,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,1163488000,0,1163488000,3.185456537,0,271739.1768,340492469.7
IL1470050,Piatt,Bement (PWS),4/15/19 18:56,2018,811,0,811,0,801,0,0,0,10,0,0,Bement,886,Bement,village,1682,municipality,3258938.207,2511938.62,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,79341000,0,79341000,0.217223819,0,25687.19386,22296954.8
IL1170050,Macoupin,Benld (PWS),4/11/19 9:20,2018,821,1,820,0,821,0,0,0,0,0,0,Benld,1117,Benld,city,1579,municipality,2914678.892,2210094.099,surface water,surface water,reservoir,Gillespie Lake,,,Gillespie,IL1170400,2912275.132,2220957.999,YES,0,34800000,34800000,0,0.095277207,23076.42511,29229630.3
IL0434140,DuPage,Bensenville (PWS),4/15/19 8:44,2018,5065,0,5065,1,3181,0,1,0,1313,569,0,Bensenville,758,Bensenville,village,18777,municipality,3421605.245,3252173.488,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,DuPage Water Commission,IL0435400,3400000,3215000,YES,13572000,736400000,749972000,0.037158111,2.01615332,126650.0571,155239466.1
IL2030050,Woodford,Benson (PWS),4/2/19 9:31,2018,215,215,0,0,191,0,2,0,13,0,9,Benson,946,Benson,village,436,municipality,3104339.673,2847045.864,groundwater,groundwater,,,sand and gravel,,,,,,YES,11771610,0,11771610,0.032228912,0,13130.91757,4629976.214
IL0550050,Franklin,Benton (PWS),4/29/19 10:00,2018,3869,0,3869,0,1000,531,1000,0,1171,0,167,Benton,100,Benton,city,7154,municipality,3166357.875,1815404.336,surface water,surface water,reservoir,Rend Lake,,,Rend Lake Inter-City Water System,IL0555100,3156727.94,1832380.974,YES,0,236839751,236839751,0,0.648431899,167218.0552,156188637.7
IL0310180,Cook,Berkeley (PWS),4/10/19 11:09,2018,1871,0,1871,363,401,0,42,0,1062,3,0,Berkeley,775,Berkeley,village,5113,municipality,3430699.863,3227234.302,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Hillside-Berkeley Water Comm,IL0315770,3437000,3223000,YES,0,245653000,245653000,0,0.672561259,33819.03351,38706014.1
IL0310210,Cook,Berwyn (PWS),8/30/19 10:11,2018,3865,0,3865,3170,0,0,0,0,695,0,0,Berwyn,745,Berwyn,city,56513,municipality,3463689.531,3211215.12,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-North,IL0316000,3493000,3230000,YES,0,1846873063,1846873063,0,5.056462869,45430.19612,107930011.6
IL1190150,Madison,Bethalto (PWS),5/28/19 13:47,2018,6179,2,6177,0,0,0,1000,0,4000,0,1179,Bethalto,1212,Bethalto,village,9458,municipality,2845151.834,2141099.95,groundwater,groundwater,,,sand and gravel,American Bottoms,,,,,YES,537815000,0,537815000,1.472457221,0,124660.352,209512677.6
IL1390100,Moultrie,Bethany (PWS),3/20/19 8:13,2018,620,0,620,0,0,0,0,620,0,0,0,Bethany,1285,Bethany,village,1397,municipality,3212634.772,2410626.131,groundwater,groundwater,,,sand and gravel,,,,,,YES,42402000,0,42402000,0.116090349,0,34677.07494,26718715.08
IL0710050,Henderson,Biggsville (PWS),3/25/19 9:00,2018,155,0,155,0,0,0,0,0,105,0,50,Biggsville,331,Biggsville,village,322,municipality,2625060.189,2850839.687,groundwater,groundwater,,,shallow bedrock,,,,,,NO,,,,,,18389.15547,9308109.352
IL0730250,Henry,Bishop Hill (PWS),5/25/19 6:34,2018,80,0,80,0,20,0,0,0,20,0,40,Bishop Hill,510,Bishop Hill,village,123,municipality,2830911.491,2973882.227,groundwater,groundwater,,,shallow bedrock,,,,,,YES,10120600,0,10120600,0.027708693,0,15351.52309,14761680.21
