"","FacilityId","County","FacilityName","Variable","Year_2019","Year_2018","change"
"111","IL1830050","Vermilion","Alvin (PWS)","percent_unknownnotlead",0,0,0
"112","IL1830050","Vermilion","Alvin (PWS)","Total",122,122,0
"113","IL1030050","Lee","Amboy (PWS)","percent_lead",3.6,3.6,0
"114","IL1030050","Lee","Amboy (PWS)","percent_unknown",79.5,79.7,-0.200000000000003
"115","IL1030050","Lee","Amboy (PWS)","percent_unknownnotlead",0,0,0
"116","IL1030050","Lee","Amboy (PWS)","Total",938,936,2
"117","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","percent_lead",0,0,0
"118","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","percent_unknown",0,0,0
"119","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","percent_unknownnotlead",0,37.5,-37.5
"120","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","Total",276,6779,-6503
"121","IL1130050","McLean","Anchor (PWS)","percent_lead",0,0,0
"122","IL1130050","McLean","Anchor (PWS)","percent_unknown",3.8,3.8,0
"123","IL1130050","McLean","Anchor (PWS)","percent_unknownnotlead",0,0,0
"124","IL1130050","McLean","Anchor (PWS)","Total",78,78,0
"125","IL1610050","Rock Island","Andalusia (PWS)","percent_lead",0,0,0
"126","IL1610050","Rock Island","Andalusia (PWS)","percent_unknown",10.4,10.4,0
"127","IL1610050","Rock Island","Andalusia (PWS)","percent_unknownnotlead",0,0,0
"128","IL1610050","Rock Island","Andalusia (PWS)","Total",481,481,0
"129","IL0730100","Henry","Andover (PWS)","percent_lead",0,0,0
"130","IL0730100","Henry","Andover (PWS)","percent_unknown",13.8,10.6,3.2
"131","IL0730100","Henry","Andover (PWS)","percent_unknownnotlead",0,0,0
"132","IL0730100","Henry","Andover (PWS)","Total",254,254,0
"133","IL1810050","Union","Anna (PWS)","percent_lead",0,0,0
"134","IL1810050","Union","Anna (PWS)","percent_unknown",79.4,79.3,0.100000000000009
"135","IL1810050","Union","Anna (PWS)","percent_unknownnotlead",0,0,0
"136","IL1810050","Union","Anna (PWS)","Total",2130,2116,14
"137","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","percent_lead",0,0,0
"138","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","percent_unknown",0,0,0
"139","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","percent_unknownnotlead",0,0,0
"140","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","Total",18,19,-1
"141","IL0730150","Henry","Annawan (PWS)","percent_lead",0,0,0
"142","IL0730150","Henry","Annawan (PWS)","percent_unknown",0,0,0
"143","IL0730150","Henry","Annawan (PWS)","percent_unknownnotlead",0,0,0
"144","IL0730150","Henry","Annawan (PWS)","Total",440,440,0
"145","IL0970050","Lake","Antioch (PWS)","percent_lead",4.3,4.2,0.0999999999999996
"146","IL0970050","Lake","Antioch (PWS)","percent_unknown",0,0,0
"147","IL0970050","Lake","Antioch (PWS)","percent_unknownnotlead",0,0,0
"148","IL0970050","Lake","Antioch (PWS)","Total",4719,4659,60
"149","IL1370040","Morgan","Apple Creek Water Coop (PWS)","percent_lead",0,0,0
"150","IL1370040","Morgan","Apple Creek Water Coop (PWS)","percent_unknown",0,0,0
"151","IL1370040","Morgan","Apple Creek Water Coop (PWS)","percent_unknownnotlead",5.4,5.5,-0.0999999999999996
"152","IL1370040","Morgan","Apple Creek Water Coop (PWS)","Total",367,366,1
"153","IL0850050","Jo Daviess","Apple River (PWS)","percent_lead",0,0,0
"154","IL0850050","Jo Daviess","Apple River (PWS)","percent_unknown",43.2,48.1,-4.9
"155","IL0850050","Jo Daviess","Apple River (PWS)","percent_unknownnotlead",0,0,0
"156","IL0850050","Jo Daviess","Apple River (PWS)","Total",183,189,-6
"157","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","percent_lead",0,0,0
"158","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","percent_unknown",100,0,100
"159","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","percent_unknownnotlead",0,98.9,-98.9
"160","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","Total",194,189,5
"161","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","percent_lead",0,0,0
"162","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","percent_unknown",0,0,0
"163","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","percent_unknownnotlead",0,0,0
"164","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","Total",1895,1895,0
"165","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","percent_lead",0,0,0
"166","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","percent_unknown",0,0,0
"167","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","percent_unknownnotlead",92.9,92.9,0
"168","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","Total",99,99,0
"169","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","percent_lead",0,0,0
"170","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","percent_unknown",0,0,0
"171","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","percent_unknownnotlead",82.9,84.6,-1.69999999999999
"172","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","Total",1000,983,17
"173","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","percent_lead",0,0,0
"174","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","percent_unknown",100,100,0
"175","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","percent_unknownnotlead",0,0,0
"176","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","Total",54,54,0
"177","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","percent_lead",0,0,0
"178","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","percent_unknown",0,0,0
"179","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","percent_unknownnotlead",96.1,96.1,0
"180","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","Total",309,309,0
"181","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","percent_lead",0,0,0
"182","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","percent_unknown",98.3,0,98.3
"183","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","percent_unknownnotlead",0,98.3,-98.3
"184","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","Total",534,534,0
"185","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","percent_lead",0,0,0
"186","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","percent_unknown",0,0,0
"187","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","percent_unknownnotlead",99.7,100,-0.299999999999997
"188","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","Total",372,368,4
"189","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","percent_lead",0,0,0
"190","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","percent_unknown",0,0,0
"191","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","percent_unknownnotlead",0,0,0
"192","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","Total",170,170,0
"193","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","percent_lead",0,0,0
"194","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","percent_unknown",99.6,90.9,8.69999999999999
"195","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","percent_unknownnotlead",0,0,0
"196","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","Total",4823,4808,15
"197","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","percent_lead",0,0,0
"198","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","percent_unknown",0,0,0
"199","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","percent_unknownnotlead",57.6,79.9,-22.3
"200","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","Total",760,755,5
"201","IL1977210","Will","Aqua Illinois - Oakview (PWS)","percent_lead",0,0,0
"202","IL1977210","Will","Aqua Illinois - Oakview (PWS)","percent_unknown",99.1,84.4,14.7
"203","IL1977210","Will","Aqua Illinois - Oakview (PWS)","percent_unknownnotlead",0,0,0
"204","IL1977210","Will","Aqua Illinois - Oakview (PWS)","Total",108,109,-1
"205","IL1970750","Will","Aqua Illinois - Peotone (PWS)","percent_lead",1.3,1.4,-0.0999999999999999
"206","IL1970750","Will","Aqua Illinois - Peotone (PWS)","percent_unknown",98.7,25.2,73.5
"207","IL1970750","Will","Aqua Illinois - Peotone (PWS)","percent_unknownnotlead",0,72.9,-72.9
"208","IL1970750","Will","Aqua Illinois - Peotone (PWS)","Total",1609,1735,-126
"209","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","percent_lead",0,0,0
"210","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","percent_unknown",98.7,100,-1.3
"211","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","percent_unknownnotlead",0,0,0
"212","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","Total",610,603,7
"213","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","percent_lead",0,0,0
"214","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","percent_unknown",0,0,0
"215","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","percent_unknownnotlead",0,0,0
"216","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","Total",105,105,0
"217","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","percent_lead",0,0,0
"218","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","percent_unknown",7.5,0,7.5
"219","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","percent_unknownnotlead",0,7.5,-7.5
"220","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","Total",40,40,0
"221","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","percent_lead",0,0,0
"222","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","percent_unknown",100,98.9,1.09999999999999
"223","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","percent_unknownnotlead",0,0,0
"224","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","Total",87,87,0
"225","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","percent_lead",0,0,0
"226","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","percent_unknown",99.5,99.5,0
"227","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","percent_unknownnotlead",0.5,0,0.5
"228","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","Total",201,201,0
"229","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","percent_lead",0,0,0
"230","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","percent_unknown",100,57.8,42.2
"231","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","percent_unknownnotlead",0,0,0
"232","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","Total",268,268,0
"233","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","percent_lead",0,0,0
"234","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","percent_unknown",99.9,65.6,34.3
"235","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","percent_unknownnotlead",0,0,0
"236","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","Total",801,802,-1
"237","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","percent_lead",0,0,0
"238","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","percent_unknown",0,0,0
"239","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","percent_unknownnotlead",0,0,0
"240","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","Total",99,94,5
"241","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","percent_lead",0,0,0
"242","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","percent_unknown",95.9,100,-4.09999999999999
"243","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","percent_unknownnotlead",0,0,0
"244","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","Total",123,123,0
"245","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","percent_lead",0,0,0
"246","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","percent_unknown",71.3,95.1,-23.8
"247","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","percent_unknownnotlead",11.2,0,11.2
"248","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","Total",31867,34345,-2478
"249","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","percent_lead",0,0,0
"250","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","percent_unknown",100,96.5,3.5
"251","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","percent_unknownnotlead",0,0,0
"252","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","Total",57,57,0
"253","IL1975030","Will","Aqua Illinois-University Park (PWS)","percent_lead",0,0,0
"254","IL1975030","Will","Aqua Illinois-University Park (PWS)","percent_unknown",62.1,61.8,0.300000000000004
"255","IL1975030","Will","Aqua Illinois-University Park (PWS)","percent_unknownnotlead",9,9,0
"256","IL1975030","Will","Aqua Illinois-University Park (PWS)","Total",2836,2676,160
"257","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","percent_lead",0,0,0
"258","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","percent_unknown",95.7,94.3,1.40000000000001
"259","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","percent_unknownnotlead",0.1,0,0.1
"260","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","Total",19990,19877,113
"261","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","percent_lead",0,0,0
"262","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","percent_unknown",0,0,0
"263","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","percent_unknownnotlead",0,0,0
"264","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","Total",1,1,0
"265","IL0410050","Douglas","Arcola (PWS)","percent_lead",6.4,6.8,-0.399999999999999
"266","IL0410050","Douglas","Arcola (PWS)","percent_unknown",0,0,0
"267","IL0410050","Douglas","Arcola (PWS)","percent_unknownnotlead",2,2,0
"268","IL0410050","Douglas","Arcola (PWS)","Total",1399,1403,-4
"269","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","percent_lead",0,0,0
"270","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","percent_unknown",0,0,0
"271","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","percent_unknownnotlead",0,0,0
"272","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","Total",34,32,2
"273","IL0170050","Cass","Arenzville (PWS)","percent_lead",0,0,0
"274","IL0170050","Cass","Arenzville (PWS)","percent_unknown",2.6,13,-10.4
"275","IL0170050","Cass","Arenzville (PWS)","percent_unknownnotlead",0,0,0
"276","IL0170050","Cass","Arenzville (PWS)","Total",195,192,3
"277","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","percent_lead",0,0,0
"278","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","percent_unknown",0,0,0
"279","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","percent_unknownnotlead",0,0,0
"280","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","Total",218,218,0
"281","IL1150050","Macon","Argenta (PWS)","percent_lead",0,0,0
"282","IL1150050","Macon","Argenta (PWS)","percent_unknown",0,0,0
"283","IL1150050","Macon","Argenta (PWS)","percent_unknownnotlead",0,0,0
"284","IL1150050","Macon","Argenta (PWS)","Total",441,439,2
"285","IL0110050","Bureau","Arlington (PWS)","percent_lead",0,0,0
"286","IL0110050","Bureau","Arlington (PWS)","percent_unknown",0,16.2,-16.2
"287","IL0110050","Bureau","Arlington (PWS)","percent_unknownnotlead",16.2,0,16.2
"288","IL0110050","Bureau","Arlington (PWS)","Total",68,68,0
"289","IL0314030","Cook","Arlington Heights (PWS)","percent_lead",27.9,28,-0.100000000000001
"290","IL0314030","Cook","Arlington Heights (PWS)","percent_unknown",0,0,0
"291","IL0314030","Cook","Arlington Heights (PWS)","percent_unknownnotlead",0,0,0
"292","IL0314030","Cook","Arlington Heights (PWS)","Total",23244,23244,0
"293","IL0310220","Cook","Arlington Park Race Track (PWS)","percent_lead",0,0,0
"294","IL0310220","Cook","Arlington Park Race Track (PWS)","percent_unknown",0,0,0
"295","IL0310220","Cook","Arlington Park Race Track (PWS)","percent_unknownnotlead",0,0,0
"296","IL0310220","Cook","Arlington Park Race Track (PWS)","Total",54,54,0
"297","IL1790050","Tazewell","Armington (PWS)","percent_lead",0,0,0
"298","IL1790050","Tazewell","Armington (PWS)","percent_unknown",0,0,0
"299","IL1790050","Tazewell","Armington (PWS)","percent_unknownnotlead",81.4,0,81.4
"300","IL1790050","Tazewell","Armington (PWS)","Total",167,167,0
"301","IL1610090","Rock Island","Arrow Head Ranch (PWS)","percent_lead",0,0,0
"302","IL1610090","Rock Island","Arrow Head Ranch (PWS)","percent_unknown",0,0,0
"303","IL1610090","Rock Island","Arrow Head Ranch (PWS)","percent_unknownnotlead",0,0,0
"304","IL1610090","Rock Island","Arrow Head Ranch (PWS)","Total",9,1,8
"305","IL1130100","McLean","Arrowsmith (PWS)","percent_lead",0,0,0
"306","IL1130100","McLean","Arrowsmith (PWS)","percent_unknown",0,0,0
"307","IL1130100","McLean","Arrowsmith (PWS)","percent_unknownnotlead",0,0,0
"308","IL1130100","McLean","Arrowsmith (PWS)","Total",125,125,0
"309","IL1394040","Moultrie","Arthur (PWS)","percent_lead",0,0,0
"310","IL1394040","Moultrie","Arthur (PWS)","percent_unknown",67.2,76,-8.8
"311","IL1394040","Moultrie","Arthur (PWS)","percent_unknownnotlead",0,0,0
"312","IL1394040","Moultrie","Arthur (PWS)","Total",1156,1131,25
"313","IL0750050","Iroquois","Ashkum (PWS)","percent_lead",0,0,0
"314","IL0750050","Iroquois","Ashkum (PWS)","percent_unknown",0,14,-14
"315","IL0750050","Iroquois","Ashkum (PWS)","percent_unknownnotlead",13.4,0,13.4
"316","IL0750050","Iroquois","Ashkum (PWS)","Total",343,343,0
"317","IL0170100","Cass","Ashland (PWS)","percent_lead",0,0,0
"318","IL0170100","Cass","Ashland (PWS)","percent_unknown",0,0,0
"319","IL0170100","Cass","Ashland (PWS)","percent_unknownnotlead",93.7,97.7,-4
"320","IL0170100","Cass","Ashland (PWS)","Total",619,619,0
"321","IL1890100","Washington","Ashley (PWS)","percent_lead",0,0,0
"322","IL1890100","Washington","Ashley (PWS)","percent_unknown",0,0,0
"323","IL1890100","Washington","Ashley (PWS)","percent_unknownnotlead",1.4,1.4,0
"324","IL1890100","Washington","Ashley (PWS)","Total",358,358,0
