"","FacilityId","County","FacilityName","Unknown","UnknownNotLead","Flagged","Difference","Flagged2"
"36","IL0070150","Boone","Poplar Grove (PWS)",0,0,"No",0,"No"
"37","IL0070300","Boone","Poplar Grove South (PWS)",0,0,"No",0,"No"
"38","IL0070350","Boone","Poplar Grove West - Countryside (PWS)",0,0,"No",0,"No"
"39","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)",0,0,"No",0,"No"
"40","IL0075105","Boone","Capron MHP (PWS)",0,0,"No",0,"No"
"41","IL0075235","Boone","Park Meadowland West MHP (PWS)",0,0,"No",0,"No"
"42","IL0075275","Boone","Oak Lawn MHP (PWS)",0,0,"No",0,"No"
"43","IL0090050","Brown","Mound Station (PWS)",-2,0,"No",-2,"No"
"44","IL0090100","Brown","Mount Sterling (PWS)",-80,70,"Yes",-10,"No"
"45","IL0090150","Brown","Ripley (PWS)",0,0,"No",0,"No"
"46","IL0090200","Brown","Versailles (PWS)",0,0,"No",0,"No"
"47","IL0110010","Bureau","Hollowayville (PWS)",0,0,"No",0,"No"
"48","IL0110050","Bureau","Arlington (PWS)",-11,11,"Yes",0,"Yes"
"49","IL0110100","Bureau","Buda (PWS)",0,0,"No",0,"No"
"50","IL0110150","Bureau","Bureau Junction (PWS)",-77,77,"Yes",0,"Yes"
"51","IL0110200","Bureau","Cherry (PWS)",0,0,"No",0,"No"
"52","IL0110250","Bureau","Dalzell (PWS)",0,0,"No",0,"No"
"53","IL0110300","Bureau","De Pue (PWS)",0,0,"No",0,"No"
"54","IL0110350","Bureau","Dover (PWS)",0,0,"No",0,"No"
"55","IL0110450","Bureau","Ladd (PWS)",0,0,"No",0,"No"
"56","IL0110500","Bureau","La Moille (PWS)",-1,0,"No",-1,"No"
"57","IL0110550","Bureau","Malden (PWS)",0,0,"No",0,"No"
"58","IL0110600","Bureau","Manlius (PWS)",0,0,"No",0,"No"
"59","IL0110650","Bureau","Mineral (PWS)",0,0,"No",0,"No"
"60","IL0110700","Bureau","Neponset (PWS)",0,0,"No",0,"No"
"61","IL0110800","Bureau","Ohio (PWS)",0,0,"No",0,"No"
"62","IL0110850","Bureau","Princeton (PWS)",15,0,"No",15,"No"
"63","IL0110900","Bureau","Seatonville (PWS)",0,0,"No",0,"No"
"64","IL0110950","Bureau","Sheffield (PWS)",0,0,"No",0,"No"
"65","IL0111000","Bureau","Spring Valley (PWS)",-39,0,"No",-39,"No"
"66","IL0111050","Bureau","Tiskilwa (PWS)",0,0,"No",0,"No"
"67","IL0111100","Bureau","Walnut (PWS)",0,0,"No",0,"No"
"68","IL0111150","Bureau","Wyanet (PWS)",0,0,"No",0,"No"
"69","IL0115000","Bureau","Van Orin Water Company (PWS)",0,0,"No",0,"No"
"70","IL0115135","Bureau","Maple Acres MHP (PWS)",0,0,"No",0,"No"
"71","IL0130010","Calhoun","Calhoun County RWD (PWS)",0,0,"No",0,"No"
"72","IL0130050","Calhoun","Batchtown (PWS)",0,0,"No",0,"No"
"73","IL0130100","Calhoun","Brussels (PWS)",0,0,"No",0,"No"
"74","IL0130200","Calhoun","Hardin (PWS)",-20,0,"No",-20,"No"
"75","IL0130250","Calhoun","Kampsville (PWS)",0,0,"No",0,"No"
"76","IL0150020","Carroll","Century Pines Apartments (PWS)",0,0,"No",0,"No"
"77","IL0150050","Carroll","Chadwick (PWS)",0,0,"No",0,"No"
"78","IL0150100","Carroll","Lanark (PWS)",0,0,"No",0,"No"
"79","IL0150150","Carroll","Milledgeville (PWS)",-1,0,"No",-1,"No"
"80","IL0150200","Carroll","Mount Carroll (PWS)",-86,0,"No",-86,"No"
"81","IL0150250","Carroll","Savanna (PWS)",0,0,"No",0,"No"
"82","IL0150300","Carroll","Shannon (PWS)",0,0,"No",0,"No"
"83","IL0150350","Carroll","Thomson (PWS)",0,0,"No",0,"No"
"84","IL0155200","Carroll","Carroll Heights Utilities Company (PWS)",0,0,"No",0,"No"
"85","IL0170010","Cass","Cass Rural Water District (PWS)",0,0,"No",0,"No"
"86","IL0170050","Cass","Arenzville (PWS)",-20,0,"No",-20,"No"
"87","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)",0,0,"No",0,"No"
"88","IL0170100","Cass","Ashland (PWS)",0,-25,"No",-25,"No"
"89","IL0170150","Cass","Beardstown (PWS)",-6,0,"No",-6,"No"
"90","IL0170200","Cass","Chandlerville (PWS)",-49,49,"Yes",0,"Yes"
"91","IL0170250","Cass","Virginia (PWS)",5,-4,"No",1,"No"
"92","IL0190040","Champaign","Youngs Hillcrest MHP (PWS)",0,0,"No",0,"No"
"93","IL0190050","Champaign","Broadlands (PWS)",0,0,"No",0,"No"
"94","IL0190060","Champaign","Seymour Water District (PWS)",0,0,"No",0,"No"
"95","IL0190070","Champaign","Stonetown Oaks MHP LLC (PWS)",-126,0,"No",-126,"No"
"96","IL0190080","Champaign","Heritage Estates Mhp (PWS)",-221,178,"Yes",-43,"No"
"97","IL0190150","Champaign","Illinois American - Fisher (PWS)",-37,0,"No",-37,"No"
"98","IL0190250","Champaign","Gifford (PWS)",-127,122,"Yes",-5,"No"
"99","IL0190300","Champaign","Homer (PWS)",-389,294,"Yes",-95,"No"
"100","IL0190350","Champaign","Longview (PWS)",0,0,"No",0,"No"
"101","IL0190400","Champaign","Ludlow (PWS)",0,0,"No",0,"No"
"102","IL0190450","Champaign","Mahomet (PWS)",0,0,"No",0,"No"
"103","IL0190500","Champaign","Ogden (PWS)",0,0,"No",0,"No"
"104","IL0190600","Champaign","Aqua Illinois - Philo (PWS)",-1,0,"No",-1,"No"
"105","IL0190650","Champaign","Rantoul (PWS)",0,-20,"No",-20,"No"
"106","IL0190660","Champaign","Maplewood MAC LLC (PWS)",0,0,"No",0,"No"
"107","IL0190700","Champaign","Royal (PWS)",98,-76,"No",22,"No"
"108","IL0190850","Champaign","Sidney (PWS)",0,0,"No",0,"No"
"109","IL0190950","Champaign","Thomasboro (PWS)",0,0,"No",0,"No"
"110","IL0191000","Champaign","Tolono (PWS)",-303,303,"Yes",0,"Yes"
"111","IL0194560","Champaign","Ivesdale (PWS)",-125,0,"No",-125,"No"
"112","IL0195100","Champaign","Penfield Pwd (PWS)",0,0,"No",0,"No"
"113","IL0195150","Champaign","Sangamon Valley PWD (PWS)",0,0,"No",0,"No"
"114","IL0195200","Champaign","Dewey Pwd (PWS)",-2,0,"No",-2,"No"
"115","IL0195300","Champaign","Illinois American - Champaign (PWS)",-53193,52884,"Yes",-309,"No"
"116","IL0195310","Champaign","Woodland Acres MHC",-95,12,"Yes",-83,"No"
"117","IL0195320","Champaign","Shadowwood MHP",0,0,"No",0,"No"
"118","IL0195350","Champaign","ILUR Portfolios - Carriage Estates LLC (PWS)",0,0,"No",0,"No"
"119","IL0195360","Champaign","Ilur Woods Edge MHP LLC (PWS)",-179,179,"Yes",0,"Yes"
"120","IL0195370","Champaign","Ilur Portfolio 5 - Wilson MHP (PWS)",-32,32,"Yes",0,"Yes"
"121","IL0195380","Champaign","Ilur Portfolio 5 - Trailside MHP (PWS)",0,0,"No",0,"No"
"122","IL0195390","Champaign","Ilur Portfolio 5 - Surbana Estates MHP (PWS)",-97,55,"Yes",-42,"No"
"123","IL0195400","Champaign","Ilur Liberty Commons MHP (PWS)",-440,300,"Yes",-140,"No"
"124","IL0195500","Champaign","University of Ilinois - Urbana Champaign (PWS)",0,0,"No",0,"No"
"125","IL0195625","Champaign","Country View Estates MHP (PWS)",0,0,"No",0,"No"
"126","IL0195645","Champaign","Ehlers MHP (PWS)",0,0,"No",0,"No"
"127","IL0195825","Champaign","East Side MHP (PWS)",0,0,"No",0,"No"
"128","IL0195865","Champaign","Country Tyme Estates MHP (PWS)",0,0,"No",0,"No"
"129","IL0195945","Champaign","Fountain Valley MHP (PWS)",0,0,"No",0,"No"
"130","IL0210030","Christian","Sharpsburg and Neighboring Area Water System (PWS)",0,0,"No",0,"No"
"131","IL0210050","Christian","Assumption (PWS)",-2,0,"No",-2,"No"
"132","IL0210150","Christian","Edinburg (PWS)",-6,0,"No",-6,"No"
"133","IL0210200","Christian","Jeisyville (PWS)",-18,0,"No",-18,"No"
"134","IL0210250","Christian","Kincaid (PWS)",328,-352,"No",-24,"No"
"135","IL0210300","Christian","Morrisonville (PWS)",-54,68,"Yes",14,"No"
"136","IL0210350","Christian","Mount Auburn (PWS)",-92,0,"No",-92,"No"
"137","IL0210400","Christian","Owaneco (PWS)",0,0,"No",0,"No"
"138","IL0210450","Christian","Palmer (PWS)",-60,0,"No",-60,"No"
"139","IL0210500","Christian","Pana (PWS)",-355,286,"Yes",-69,"No"
"140","IL0210550","Christian","Stonington (PWS)",0,0,"No",0,"No"
"141","IL0210600","Christian","Taylorville (PWS)",-28,0,"No",-28,"No"
"142","IL0210650","Christian","Tovey (PWS)",0,0,"No",0,"No"
"143","IL0215150","Christian","Langleyville PWD (PWS)",0,0,"No",0,"No"
"144","IL0230010","Clark","Clark-Edgar Rural Water District (PWS)",-10,0,"No",-10,"No"
"145","IL0230050","Clark","Casey (PWS)",0,0,"No",0,"No"
"146","IL0230100","Clark","Marshall (PWS)",500,1000,"No",1500,"No"
"147","IL0230150","Clark","Martinsville (PWS)",293,0,"No",293,"No"
"148","IL0230200","Clark","Westfield (PWS)",-6,0,"No",-6,"No"
"149","IL0235400","Clark","Union-York Water District (PWS)",0,0,"No",0,"No"
"150","IL0250010","Clay","Iola (PWS)",0,0,"No",0,"No"
"151","IL0250020","Clay","Clay County Water Inc (PWS)",0,0,"No",0,"No"
"152","IL0250050","Clay","Clay City (PWS)",0,0,"No",0,"No"
"153","IL0250100","Clay","Flora (PWS)",0,0,"No",0,"No"
"154","IL0250200","Clay","Louisville (PWS)",-10,9,"Yes",-1,"No"
"155","IL0250300","Clay","Xenia (PWS)",0,0,"No",0,"No"
"156","IL0270010","Clinton","Carlyle North Water Company, Inc. (PWS)",0,0,"No",0,"No"
"157","IL0270040","Clinton","Gateway Regional Water Company (PWS)",0,0,"No",0,"No"
"158","IL0270050","Clinton","Albers (PWS)",-24,0,"No",-24,"No"
"159","IL0270100","Clinton","Aviston (PWS)",0,0,"No",0,"No"
"160","IL0270150","Clinton","Bartelso (PWS)",-85,10,"Yes",-75,"No"
"161","IL0270200","Clinton","Beckemeyer (PWS)",0,0,"No",0,"No"
"162","IL0270250","Clinton","Breese (PWS)",-2,11,"Yes",9,"No"
"163","IL0270300","Clinton","Carlyle (PWS)",-67,0,"No",-67,"No"
"164","IL0270350","Clinton","Germantown (PWS)",0,0,"No",0,"No"
"165","IL0270400","Clinton","Hoffman (PWS)",-5,0,"No",-5,"No"
"166","IL0270500","Clinton","Trenton (PWS)",-75,0,"No",-75,"No"
"167","IL0274580","Clinton","Keyesport (PWS)",0,0,"No",0,"No"
"168","IL0274700","Clinton","New Baden (PWS)",-3,0,"No",-3,"No"
"169","IL0275120","Clinton","Carlyle Southwest PWD (PWS)",16,0,"No",16,"No"
"170","IL0275150","Clinton","Clinton County East PWD (PWS)",-3,0,"No",-3,"No"
"171","IL0275200","Clinton","Damiansville (PWS)",21,0,"No",21,"No"
"172","IL0275230","Clinton","Hoffman RWD (PWS)",0,0,"No",0,"No"
"173","IL0275250","Clinton","St Rose Pwd (PWS)",-8,0,"No",-8,"No"
"174","IL0275350","Clinton","New Memphis PWD (PWS)",0,0,"No",0,"No"
"175","IL0290010","Coles","Longacre Estates MHP (PWS)",-123,88,"Yes",-35,"No"
"176","IL0290020","Coles","Embarras Area Water District (PWS)",-35,20,"Yes",-15,"No"
"177","IL0290050","Coles","Ashmore (PWS)",-162,162,"Yes",0,"Yes"
"178","IL0290100","Coles","Charleston (PWS)",0,0,"No",0,"No"
"179","IL0290150","Coles","Humboldt (PWS)",0,-233,"No",-233,"No"
"180","IL0290200","Coles","Lerna (PWS)",0,0,"No",0,"No"
"181","IL0290250","Coles","Mattoon-PWS",-522,60,"Yes",-462,"No"
"182","IL0290300","Coles","Oakland (PWS)",0,0,"No",0,"No"
"183","IL0295100","Coles","Clear Water Service Corp (PWS)",0,0,"No",0,"No"
"184","IL0295200","Coles","Cooks Mills Water Association (PWS)",0,0,"No",0,"No"
"185","IL0295250","Coles","Lake Mattoon PWD (PWS)",0,0,"No",0,"No"
"186","IL0295500","Coles","Eastern Illinois University (PWS)",0,0,"No",0,"No"
"187","IL0310010","Cook","Paradise MHP (PWS)",0,0,"No",0,"No"
"188","IL0310030","Cook","Alsip (PWS)",3203,-4009,"No",-806,"No"
"189","IL0310060","Cook","Summit (PWS)",0,0,"No",0,"No"
"190","IL0310080","Cook","Sunset MHP (PWS)",0,0,"No",0,"No"
"191","IL0310110","Cook","Franciscan Sisters Of Chicago (PWS)",0,0,"No",0,"No"
"192","IL0310120","Cook","Bedford Park (PWS)",0,0,"No",0,"No"
"193","IL0310140","Cook","South Palos Township Sanitary District (PWS)",0,0,"No",0,"No"
"194","IL0310150","Cook","Bellwood (PWS)",-35,35,"Yes",0,"Yes"
"195","IL0310180","Cook","Berkeley (PWS)",-296,0,"No",-296,"No"
"196","IL0310200","Cook","South Barrington (PWS)",0,0,"No",0,"No"
"197","IL0310210","Cook","Berwyn (PWS)",0,0,"No",0,"No"
"198","IL0310220","Cook","Arlington Park Race Track (PWS)",0,0,"No",0,"No"
"199","IL0310230","Cook","Mid-Mark Water Commission (PWS)",0,0,"No",0,"No"
"200","IL0310240","Cook","Blue Island (PWS)",0,0,"No",0,"No"
"201","IL0310270","Cook","Bridgeview (PWS)",0,-452,"No",-452,"No"
"202","IL0310290","Cook","Illinois American - Lake Water Company (PWS)",0,0,"No",0,"No"
"203","IL0310300","Cook","Broadview (PWS)",14,0,"No",14,"No"
"204","IL0310330","Cook","Brookfield (PWS)",0,0,"No",0,"No"
"205","IL0310360","Cook","Burnham (PWS)",259,0,"No",259,"No"
"206","IL0310370","Cook","Lindentree Townhomes (PWS)",0,0,"No",0,"No"
"207","IL0310390","Cook","Calumet City (PWS)",-58,0,"No",-58,"No"
"208","IL0310420","Cook","Calumet Park (PWS)",0,0,"No",0,"No"
"209","IL0310450","Cook","Chicago Heights (PWS)",110,0,"No",110,"No"
"210","IL0310480","Cook","Chicago Ridge (PWS)",0,-9,"No",-9,"No"
"211","IL0310510","Cook","Cicero (PWS)",0,0,"No",0,"No"
"212","IL0310540","Cook","Country Club Hills (PWS)",0,0,"No",0,"No"
"213","IL0310570","Cook","Countryside (PWS)",0,3,"No",3,"No"
"214","IL0310600","Cook","Crestwood (PWS)",0,0,"No",0,"No"
"215","IL0310630","Cook","Des Plaines (PWS)",-3824,0,"No",-3824,"No"
"216","IL0310660","Cook","Dixmoor (PWS)",0,0,"No",0,"No"
"217","IL0310690","Cook","Dolton (PWS)",2126,789,"No",2915,"No"
"218","IL0310750","Cook","East Hazel Crest (PWS)",0,0,"No",0,"No"
"219","IL0310780","Cook","Elmwood Park (PWS)",0,0,"No",0,"No"
"220","IL0310810","Cook","Evanston (PWS)",0,0,"No",0,"No"
"221","IL0310840","Cook","Evergreen Park (PWS)",0,0,"No",0,"No"
"222","IL0310870","Cook","Flossmoor (PWS)",-172,0,"No",-172,"No"
"223","IL0310900","Cook","Forest Park (PWS)",0,0,"No",0,"No"
"224","IL0310930","Cook","Forest View (PWS)",-1,0,"No",-1,"No"
"225","IL0310960","Cook","Franklin Park (PWS)",0,0,"No",0,"No"
"226","IL0310990","Cook","Glencoe (PWS)",-14,0,"No",-14,"No"
"227","IL0311000","Cook","Palos Park (PWS)",0,0,"No",0,"No"
"228","IL0311020","Cook","Glenview (PWS)",0,0,"No",0,"No"
"229","IL0311050","Cook","Glenwood (PWS)",236,-236,"No",0,"No"
"230","IL0311080","Cook","Golf (PWS)",0,0,"No",0,"No"
"231","IL0311110","Cook","Harvey (PWS)",0,0,"No",0,"No"
"232","IL0311140","Cook","Harwood Heights (PWS)",0,0,"No",0,"No"
"233","IL0311170","Cook","Hazel Crest (PWS)",252,-252,"No",0,"No"
"234","IL0311200","Cook","Hickory Hills (PWS)",0,0,"No",0,"No"
"235","IL0311230","Cook","Hillside (PWS)",-3,0,"No",-3,"No"
"236","IL0311260","Cook","Hodgkins (PWS)",-105,105,"Yes",0,"Yes"
"237","IL0311290","Cook","Hoffman Estates (PWS)",0,0,"No",0,"No"
"238","IL0311320","Cook","Hometown (PWS)",0,0,"No",0,"No"
"239","IL0311350","Cook","Homewood (PWS)",4,2,"No",6,"No"
"240","IL0311410","Cook","Indian Head Park (PWS)",0,0,"No",0,"No"
"241","IL0311500","Cook","Kenilworth (PWS)",0,0,"No",0,"No"
"242","IL0311530","Cook","La Grange (PWS)",160,0,"No",160,"No"
"243","IL0311540","Cook","La Grange Estates MHP (PWS)",0,0,"No",0,"No"
"244","IL0311560","Cook","La Grange Park (PWS)",0,0,"No",0,"No"
"245","IL0311590","Cook","Lansing (PWS)",49,0,"No",49,"No"
"246","IL0311620","Cook","Lemont (PWS)",-2135,2135,"Yes",0,"Yes"
"247","IL0311650","Cook","Lincolnwood (PWS)",0,0,"No",0,"No"
"248","IL0311680","Cook","Lynwood (PWS)",0,0,"No",0,"No"
"249","IL0311710","Cook","Lyons (PWS)",-25,25,"Yes",0,"Yes"
"250","IL0311740","Cook","Mc Cook (PWS)",0,0,"No",0,"No"
"251","IL0311770","Cook","Markham (PWS)",0,0,"No",0,"No"
"252","IL0311800","Cook","Matteson (PWS)",-6030,0,"No",-6030,"No"
"253","IL0311830","Cook","Maywood (PWS)",0,0,"No",0,"No"
"254","IL0311860","Cook","Melrose Park (PWS)",0,0,"No",0,"No"
"255","IL0311890","Cook","Merrionette Park (PWS)",0,0,"No",0,"No"
"256","IL0311900","Cook","Oak Lane Mobile Home Park (PWS)",-217,217,"Yes",0,"Yes"
"257","IL0311920","Cook","Midlothian (PWS)",191,0,"No",191,"No"
"258","IL0311950","Cook","Morton Grove (PWS)",-134,0,"No",-134,"No"
"259","IL0311960","Cook","Morton Grove - Niles Water Commission (PWS)",0,0,"No",0,"No"
"260","IL0311980","Cook","Mount Prospect (PWS)",-2373,18,"Yes",-2355,"No"
"261","IL0312010","Cook","Niles (PWS)",-308,0,"No",-308,"No"
"262","IL0312040","Cook","Norridge (PWS)",-710,0,"No",-710,"No"
"263","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)",2,0,"No",2,"No"
"264","IL0312070","Cook","Northbrook (PWS)",0,0,"No",0,"No"
"265","IL0312100","Cook","Northfield (PWS)",0,0,"No",0,"No"
"266","IL0312160","Cook","North Riverside (PWS)",0,0,"No",0,"No"
"267","IL0312190","Cook","Oak Forest (PWS)",0,0,"No",0,"No"
"268","IL0312220","Cook","Oak Lawn (PWS)",1457,0,"No",1457,"No"
"269","IL0312250","Cook","Oak Park (PWS)",-1785,0,"No",-1785,"No"
"270","IL0312280","Cook","Olympia Fields (PWS)",0,0,"No",0,"No"
"271","IL0312310","Cook","Orland Park (PWS)",0,0,"No",0,"No"
"272","IL0312340","Cook","Palatine (PWS)",0,0,"No",0,"No"
"273","IL0312370","Cook","Palos Heights (PWS)",0,0,"No",0,"No"
"274","IL0312400","Cook","Palos Hills (PWS)",0,0,"No",0,"No"
"275","IL0312460","Cook","Park Ridge (PWS)",0,0,"No",0,"No"
"276","IL0312490","Cook","Phoenix (PWS)",0,0,"No",0,"No"
"277","IL0312520","Cook","Posen (PWS)",0,0,"No",0,"No"
"278","IL0312530","Cook","Prospect Heights (PWS)",0,0,"No",0,"No"
"279","IL0312540","Cook","Grandbrier of Prospect Heights (PWS)",0,0,"No",0,"No"
"280","IL0312550","Cook","Richton Park (PWS)",0,0,"No",0,"No"
"281","IL0312580","Cook","Riverdale (PWS)",-2563,2557,"Yes",-6,"No"
"282","IL0312610","Cook","River Forest (PWS)",-106,0,"No",-106,"No"
"283","IL0312640","Cook","River Grove (PWS)",67,0,"No",67,"No"
"284","IL0312670","Cook","Riverside (PWS)",-134,0,"No",-134,"No"
"285","IL0312700","Cook","Robbins (PWS)",0,0,"No",0,"No"
"286","IL0312730","Cook","Rolling Meadows (PWS)",0,0,"No",0,"No"
"287","IL0312760","Cook","Rosemont (PWS)",0,0,"No",0,"No"
"288","IL0312790","Cook","Sauk (PWS)",0,0,"No",0,"No"
"289","IL0312800","Cook","Weatherstone Lakes MHP (PWS)",0,0,"No",0,"No"
"290","IL0312850","Cook","Schiller Park (PWS)",145,0,"No",145,"No"
"291","IL0312880","Cook","Skokie (PWS)",-3480,0,"No",-3480,"No"
"292","IL0312940","Cook","South Chicago Heights (PWS)",0,0,"No",0,"No"
"293","IL0312970","Cook","South Holland (PWS)",0,0,"No",0,"No"
"294","IL0313000","Cook","Stickney (PWS)",0,0,"No",0,"No"
"295","IL0313030","Cook","Stone Park (PWS)",0,0,"No",0,"No"
"296","IL0313060","Cook","Streamwood (PWS)",0,0,"No",0,"No"
"297","IL0313090","Cook","Thornton (PWS)",904,0,"No",904,"No"
"298","IL0313150","Cook","Westchester (PWS)",0,0,"No",0,"No"
"299","IL0313180","Cook","Western Springs (PWS)",-346,0,"No",-346,"No"
"300","IL0313300","Cook","Wilmette (PWS)",-463,0,"No",-463,"No"
"301","IL0313330","Cook","Winnetka (PWS)",-5,-1,"No",-6,"No"
"302","IL0313360","Cook","Worth (PWS)",0,0,"No",0,"No"
"303","IL0314030","Cook","Arlington Heights (PWS)",0,0,"No",0,"No"
"304","IL0314120","Cook","Bartlett (PWS)",5,0,"No",5,"No"
"305","IL0314180","Cook","Buffalo Grove (PWS)",0,0,"No",0,"No"
"306","IL0314400","Cook","Elk Grove Village (PWS)",216,-216,"No",0,"No"
"307","IL0314480","Cook","Hanover Park (PWS)",0,0,"No",0,"No"
"308","IL0314710","Cook","Northlake (PWS)",0,0,"No",0,"No"
"309","IL0314740","Cook","Park Forest (PWS)",-129,0,"No",-129,"No"
"310","IL0314860","Cook","Steger (PWS)",0,0,"No",0,"No"
"311","IL0314890","Cook","Schaumburg (PWS)",-197,0,"No",-197,"No"
"312","IL0314910","Cook","Tinley Park (PWS)",0,0,"No",0,"No"
"313","IL0314970","Cook","Wheeling (PWS)",0,0,"No",0,"No"
"314","IL0315030","Cook","Illinois American - Fernway (PWS)",84,0,"No",84,"No"
"315","IL0315125","Cook","Alpine Village MHP (PWS)",0,0,"No",0,"No"
"316","IL0315130","Cook","Brookfield-North Riverside Water Commssion (PWS)",0,0,"No",0,"No"
"317","IL0315145","Cook","Spring Lakes MHP (PWS)",0,0,"No",0,"No"
"318","IL0315150","Cook","Illinois American - Chicago Suburban (PWS)",-12,0,"No",-12,"No"
"319","IL0315175","Cook","Candlelight Village MHP (PWS)",0,0,"No",0,"No"
"320","IL0315185","Cook","Oasis MHP (PWS)",0,0,"No",0,"No"
"321","IL0315300","Cook","Northwest Water Commssion (PWS)",0,0,"No",0,"No"
"322","IL0315310","Cook","Glenbrook Sanitary District (PWS)",-12,12,"Yes",0,"Yes"
"323","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)",434,0,"No",434,"No"
"324","IL0315400","Cook","Northwest Suburban Municipal Jawa (PWS)",-21,21,"Yes",0,"Yes"
"325","IL0315570","Cook","Central Stickney Sanitary District (PWS)",0,0,"No",0,"No"
"326","IL0315617","Cook","Edward Hines Jr VA Hospital (PWS)",0,0,"No",0,"No"
"327","IL0315620","Cook","Garden Home Sanitary District (PWS)",6,-11,"No",-5,"No"
"328","IL0315650","Cook","Glen Eden Estates Homeowners Association (PWS)",0,0,"No",0,"No"
"329","IL0315770","Cook","Hillside Berkeley Water Commission (PWS)",0,0,"No",0,"No"
"330","IL0315820","Cook","JUSTICE-WILLOW SPRINGS WATER COMMISSION (PWS)",0,0,"No",0,"No"
"331","IL0315850","Cook","Sterling Estates MHP (PWS)",0,0,"No",0,"No"
"332","IL0315860","Cook","La Grange Highlands Sanitary District (PWS)",0,0,"No",0,"No"
"333","IL0315880","Cook","Leyden Township Water District (PWS)",-8,0,"No",-8,"No"
"334","IL0315910","Cook","Illinois American - Moreland (PWS)",-167,0,"No",-167,"No"
"335","IL0315920","Cook","Mission Brook Sanitary District (PWS)",0,0,"No",0,"No"
"336","IL0315935","Cook","Linway Estates MHP (PWS)",0,0,"No",0,"No"
"337","IL0316000","Cook","Chicago (PWS)",-1292,-9,"No",-1301,"No"
"338","IL0317050","Cook","Illinois American - Midwest Palos (PWS)",0,0,"No",0,"No"
"339","IL0317370","Cook","South Stickny SD (PWS)",0,0,"No",0,"No"
"340","IL0317550","Cook","Illinois American - Waycinden (PWS)",1,0,"No",1,"No"
"341","IL0317580","Cook","Broadview-Westchester Joint Water Agency (PWS)",0,0,"No",0,"No"
"342","IL0317595","Cook","Willoway Terrace MHP (PWS)",0,0,"No",0,"No"
"343","IL0317765","Cook","Blackhawk Estates LLC (PWS)",0,0,"No",0,"No"
"344","IL0317775","Cook","Des Plaines MHP (PWS)",0,0,"No",0,"No"
"345","IL0317789","Cook","Oak Forest Health Center (PWS)",0,0,"No",0,"No"
