FacilityId,County,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic,Place,STATEFP,PLACEFP,PLACENS,GEOID,Place,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
IL1195110,Madison,Holiday Shores Sd (PWS),5/7/2019 10:15:33 AM,2018,1188,0,1188,0,0,0,0,0,0,0,1188,Holiday Shores Sd,17,35541,2628553,1735541,Holiday Shores,Holiday Shores CDP,57,U1,N,N,G4210,S,4202574,1210590,38.9271722,-89.9388597
IL1195150,Madison,Illinois American - Alton (PWS),4/10/2019 2:36:08 PM,2018,25319,6,25313,110,12211,0,12,0,11307,5,1674,Alton,17,1114,2393935,1701114,Alton,Alton city,25,C1,N,N,G4110,A,40184722,3278624,38.9021254,-90.1540833
IL0035030,Alexander,Illinois American - Cairo (PWS),4/11/2019 2:32:36 PM,2018,1227,0,1227,36,1176,13,0,0,0,0,2,Cairo,17,10383,2393491,1710383,Cairo,Cairo city,25,C1,N,N,G4110,A,18078204,5450383,37.0062883,-89.1828803
IL0195300,Champaign,Illinois American - Champaign (PWS),4/12/2019 8:29:52 AM,2018,55406,12,55394,0,53193,0,0,0,0,0,2213,Champaign,17,12385,2393796,1712385,Champaign,Champaign city,25,C1,Y,N,G4110,A,59131157,374535,40.1140991,-88.274619
IL1635040,St. Clair,Illinois American - East St Louis (PWS),4/10/2019 9:11:09 AM,2018,51498,51491,7,346,46901,0,0,0,4244,7,0,East St Louis,17,22255,2394607,1722255,East St. Louis,East St. Louis city,25,C1,N,N,G4110,A,36032106,979843,38.6163605,-90.1305275
IL1195030,Madison,Illinois American - Granite City (PWS),4/10/2019 9:13:07 AM,2018,15753,15750,3,314,15086,0,0,0,350,3,0,Granite City,17,30926,2394961,1730926,Granite City,Granite City city,25,C1,N,N,G4110,A,49982478,3749328,38.7292826,-90.1254718
IL1075030,Logan,Illinois American - Lincoln (PWS),3/14/2019 9:09:45 AM,2018,6054,1,6053,6,5941,0,0,0,0,0,107,Lincoln,17,43536,2395710,1743536,Lincoln,Lincoln city,25,C1,Y,N,G4110,A,16191021,0,40.1508564,-89.3720253
IL1795040,Tazewell,Illinois American - Pekin (PWS),3/21/2019 1:50:32 PM,2018,15332,0,15332,0,0,0,2113,0,12964,0,255,Pekin,17,58447,2396172,1758447,Pekin,Pekin city,25,C1,N,N,G4110,A,37864996,2111524,40.567527,-89.6248996
IL1435030,Peoria,Illinois American - Peoria (PWS),3/14/2019 8:36:59 AM,2018,63020,7,63013,11311,28849,0,0,0,22642,0,218,Peoria,17,59000,2396178,1759000,Peoria,Peoria city,25,C1,Y,N,G4110,A,124921549,6227469,40.7515155,-89.6173597
IL1055030,Livingston,Illinois American - Pontiac (PWS),4/8/2019 3:11:25 PM,2018,4530,0,4530,0,475,2795,85,628,494,53,0,Pontiac,17,61015,2396250,1761015,Pontiac,Pontiac city,25,C1,Y,N,G4110,A,20974634,650139,40.898981,-88.6450605
IL1050650,Livingston,Illinois American - Saunemin (PWS),4/8/2019 8:10:46 AM,2018,185,0,185,0,0,0,0,0,185,0,0,Saunemin,17,67795,2399763,1767795,Saunemin,Saunemin village,47,C1,N,N,G4110,A,600546,5476,40.8921857,-88.4053251
IL2010450,Winnebago,Illinois American - South Beloit (PWS),4/12/2019 10:45:18 AM,2018,2863,0,2863,23,634,0,0,0,1018,29,1159,South Beloit,17,70590,2395912,1770590,South Beloit,South Beloit city,25,C1,N,N,G4110,A,15666382,597767,42.4848382,-89.0274347
IL1955040,Whiteside,Illinois American - Sterling (PWS),4/9/2019 11:28:43 AM,2018,6507,0,6507,0,5388,0,0,1119,0,0,0,Sterling,17,72546,2395965,1772546,Sterling,Sterling city,25,C1,Y,N,G4110,A,15125611,602873,41.7996681,-89.6951504
IL0995030,LaSalle,Illinois American - Streator (PWS),4/1/2019 12:54:31 PM,2018,9729,0,9729,50,581,124,35,0,8657,148,134,Streator,17,73170,2395987,1773170,Streator,Streator city,25,C1,N,N,G4110,A,17938321,170379,41.1238447,-88.8293427
IL1135250,McLean,Indian Creek Homeowners And Water Assn. (PWS),7/24/2019 3:27:32 PM,2018,88,0,88,0,88,0,0,0,0,0,0,Indian Creek Homeowners And Water Assn.,17,37218,2398570,1737218,Indian Creek,Indian Creek village,47,C1,N,N,G4110,A,691437,0,42.2272046,-87.9783589
IL1975880,Will,Ingalls Park Subdivision (PWS),4/15/2019 2:44:28 PM,2018,248,0,248,0,0,248,0,0,0,0,0,Ingalls Park Subdivision,17,37465,2393064,1737465,Ingalls Park,Ingalls Park CDP,57,U1,N,N,G4210,S,2931696,0,41.5202709,-88.0346055
IL1635110,St. Clair,Kaskaskia Water District (PWS),4/30/2019 12:43:48 PM,2018,8,8,0,0,0,0,0,0,0,5,3,Kaskaskia Water District,17,39129,2398330,1739129,Kaskaskia,Kaskaskia village,47,C1,N,N,G4110,A,277115,0,37.9212918,-89.9163384
IL1975930,Will,Lakewood Shores Improvement Association (PWS),3/15/2019 8:40:04 AM,2018,248,0,248,0,248,0,0,0,0,0,0,Lakewood Shores Improvement Association,17,41716,2393091,1741716,Lakewood Shores,Lakewood Shores CDP,57,U1,N,N,G4210,S,5933864,522421,41.2672323,-88.135039
IL0215150,Christian,Langleyville PWD (PWS),3/26/2019 1:00:37 PM,2018,170,0,170,0,0,0,0,0,0,0,170,Langleyville,17,42002,2629875,1742002,Langleyville,Langleyville CDP,57,U1,N,N,G4210,S,1017669,0,39.5611068,-89.3602553
IL0975500,Lake,LCPWD - Forest Lake Addition (PWS),4/9/2019 4:58:34 PM,2018,73,0,73,0,42,0,10,0,20,0,1,LC - Forest Lake Addition,17,26896,2393000,1726896,Forest Lake,Forest Lake CDP,57,U1,N,N,G4210,S,910444,158987,42.2118347,-88.0524989
IL0975460,Lake,LCPWD - Knollwood (PWS),4/10/2019 11:22:07 AM,2018,1893,0,1893,0,18,0,0,0,1870,0,5,LC - Knollwood,17,40364,2629857,1740364,Knollwood,Knollwood CDP,57,U1,N,N,G4210,S,1563806,0,42.2845848,-87.8793346
IL0990350,LaSalle,Leland (PWS),4/8/2019 11:26:56 PM,2018,395,0,395,0,395,0,0,0,0,0,0,Leland,17,42756,2398416,1742756,Leland,Leland village,47,C1,N,N,G4110,A,1382489,0,41.6159637,-88.7983087
IL1155150,Macon,Long Creek Township PWS (PWS),4/3/2019 2:38:30 PM,2018,3287,1,3286,0,0,70,10,0,210,0,2997,Long Creek Township PWS,17,44498,2398470,1744498,Long Creek,Long Creek village,47,C1,N,N,G4110,A,7316858,0,39.8052322,-88.8473308
IL0915385,Kankakee,Manteno MHP (PWS),3/15/2019 8:40:49 AM,2018,74,0,74,0,74,0,0,0,0,0,0,Manteno ,17,46500,2399245,1746500,Manteno,Manteno village,47,C1,N,N,G4110,A,13793751,88792,41.2478498,-87.8443079
IL1195210,Madison,Mitchell PWD (PWS),4/4/2019 12:06:33 PM,2018,2087,1,2086,0,60,1890,0,0,136,0,1,Mitchell ,17,49698,2629853,1749698,Mitchell,Mitchell CDP,57,U1,N,N,G4210,S,1446888,0,38.763067,-90.0816188
IL0555150,Franklin,Mulkeytown PWD (PWS),4/12/2019 1:38:36 PM,2018,162,162,0,0,0,0,0,0,0,0,162,Mulkeytown ,17,51310,2628555,1751310,Mulkeytown,Mulkeytown CDP,57,U1,N,N,G4210,S,712616,1712,37.9738694,-89.1084666
IL1090010,McDonough,New Salem PWD (PWS),4/14/2019 4:14:27 PM,2018,160,0,160,0,0,0,0,0,0,0,160,New Salem,17,52805,2399482,1752805,New Salem,New Salem village,47,C1,N,N,G4110,A,2709738,0,39.7076112,-90.8478405
IL1150400,Macon,Niantic (PWS),7/11/2019 10:05:38 AM,2018,272,0,272,0,0,0,30,0,27,0,215,Niantic,17,52961,2399496,1752961,Niantic,Niantic village,47,C1,N,N,G4110,A,2691569,0,39.8540656,-89.1652613
IL1835300,Vermilion,Olivet PWD (PWS),3/29/2019 11:55:06 PM,2018,140,0,140,0,140,0,0,0,0,0,0,Olivet ,17,55886,2628557,1755886,Olivet,Olivet CDP,57,U1,N,N,G4210,S,6172211,0,39.9414083,-87.6379426
IL0195100,Champaign,Penfield Pwd (PWS),4/29/2019 2:13:23 PM,2018,85,0,85,0,85,0,0,0,0,0,0,Penfield Pwd,17,58577,2628559,1758577,Penfield,Penfield CDP,57,U1,N,N,G4210,S,666206,0,40.3047002,-87.9443066
IL1195300,Madison,Pontoon Beach PWD (PWS),4/11/2019 7:55:43 AM,2018,1580,0,1580,0,562,189,0,0,634,0,195,Pontoon Beach ,17,61067,2398997,1761067,Pontoon Beach,Pontoon Beach village,47,C1,N,N,G4110,A,26249727,6439683,38.720957,-90.0574657
IL1655120,Saline,Raleigh Water District (PWS),4/1/2019 8:37:38 PM,2018,264,0,264,0,172,0,0,0,0,0,92,Raleigh Water District,17,62588,2399037,1762588,Raleigh,Raleigh village,47,C1,N,N,G4110,A,5117616,6113,37.8244485,-88.5312022
IL0590300,Gallatin,Ridgway (PWS),4/9/2019 2:17:33 PM,2018,500,0,500,0,126,0,20,0,67,0,287,Ridgway,17,64018,2399074,1764018,Ridgway,Ridgway village,47,C1,N,N,G4110,A,2278569,2196,37.7978836,-88.2606162
IL1615387,Rock Island,Rock Island Arsenal (PWS),4/5/2019 8:55:33 AM,2018,198,198,0,0,51,28,4,0,82,22,11,Rock Island Arsenal,17,65104,2393210,1765104,Rock Island Arsenal,Rock Island Arsenal CDP,57,M2,N,N,G4210,S,4070813,2574496,41.5170377,-90.5396892
IL1170010,Macoupin,"Scottville Rural Water Company, Inc. (PWS)",5/6/2019 9:18:41 AM,2018,285,0,285,0,0,25,0,0,7,0,253,"Scottville Rural Water Company, Inc.",17,68406,2399777,1768406,Scottville,Scottville village,47,C1,N,N,G4110,A,2581157,0,39.4777129,-90.1037855
IL0190060,Champaign,Seymour Water District (PWS),3/25/2019 9:55:15 AM,2018,155,0,155,0,0,0,0,0,0,0,155,Seymour Water District,17,68809,2628560,1768809,Seymour,Seymour CDP,57,U1,N,N,G4210,S,232392,0,40.106728,-88.4271581
IL0310200,Cook,South Barrington (PWS),4/18/2019 12:52:31 PM,2018,335,0,335,0,0,0,0,0,335,0,0,South Barrington,17,70564,2399841,1770564,South Barrington,South Barrington village,47,C1,N,N,G4110,A,19246930,732982,42.0889919,-88.1571843
IL0275250,Clinton,St Rose Pwd (PWS),4/26/2019 1:59:17 PM,2018,662,0,662,0,660,0,0,0,0,0,2,St Rose Pwd,17,67158,2786434,1767158,St. Rose,St. Rose village,47,C1,N,N,G4110,A,1529625,0,38.6826159,-89.5536074
IL0195500,Champaign,University of Ilinois - Urbana Champaign (PWS),3/21/2019 10:28:04 AM,2018,277,277,0,0,277,0,0,0,0,0,0,University of Ilinois - Urbana Champaign,17,77005,2397097,1777005,Urbana,Urbana city,25,C1,Y,N,G4110,A,30611288,186870,40.1101258,-88.1973232
IL0855150,Jo Daviess,Util Inc - Apple Canyon Utilities Company (PWS),5/1/2019 1:35:51 PM,2018,922,0,922,0,0,0,0,0,200,0,722,Apple Canyon Utilities Company,17,1647,2629888,1701647,Apple Canyon Lake,Apple Canyon Lake CDP,57,U1,N,N,G4210,S,9619915,1698880,42.4338427,-90.1596772
IL0855050,Jo Daviess,Util Inc - Galena Territory (PWS),5/1/2019 1:38:34 PM,2018,2335,0,2335,0,0,0,0,0,230,0,2105,Galena Territory,17,28300,2394840,1728300,Galena,Galena city,25,C1,N,N,G4110,A,11550825,19921,42.42206,-90.4278035
IL1115350,McHenry,Util Inc - Holiday Hills (PWS),4/15/2019 10:17:40 AM,2018,249,0,249,0,0,0,0,0,249,0,0,Holiday Hills,17,35515,2398523,1735515,Holiday Hills,Holiday Hills village,47,C1,N,N,G4110,A,2455036,103164,42.2959274,-88.2288108
IL0995200,LaSalle,Util Inc - Lake Holiday (PWS),4/10/2019 2:19:05 PM,2018,1884,0,1884,0,0,0,0,0,1884,0,0,Lake Holiday,17,41157,2629851,1741157,Lake Holiday,Lake Holiday CDP,57,U1,N,N,G4210,S,8293003,1250252,41.620087,-88.6648985
IL1475050,Piatt,White Heath Waterworks (PWS),3/24/2019 7:09:21 PM,2018,293,0,293,0,0,0,0,0,2,0,291,White Heath Waterworks,17,81295,2628564,1781295,White Heath,White Heath CDP,57,U1,N,N,G4210,S,884168,0,40.0868112,-88.5116487
IL1115750,McHenry,Wonder Lake Water Company (PWS),4/10/2019 11:20:55 AM,2018,1278,0,1278,0,1273,0,0,0,5,0,0,Wonder Lake Water Company,17,82855,2399729,1782855,Wonder Lake,Wonder Lake village,47,C1,N,N,G4110,A,12383137,3003478,42.3746141,-88.3506177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
